Crisis ID,Type of Community Crisis,What,Where,When,How,Severity,Duration
1,Civil War,armed conflict,"663 Mcclain Islands Suite 055, West Davidview, MN 22626",21-04-2023 05:26,warfare,high,within 6 hours
2,Riot,civil unrest,"75934 Edwards Turnpike, Lake Baileyberg, OK 44540",25-03-2022 14:56,disturbance,very low,within 12 hours
3,Civil War,civil war,"92321 Maldonado Row, Lake Cynthia, GU 00784",12-06-2020 08:51,civil war,high,within 12 hours
4,Terrorist Attack,bombing,"8105 Margaret Tunnel Apt. 930, Port Janetbury, OR 94285",02-12-2020 23:28,terrorism,low,within 24 hours
5,Crime Spree,lawlessness,"971 Kaufman Motorway, West Sharon, MN 62146",29-09-2021 17:15,crime spree,very low,within 24 hours
6,Riot,civil unrest,"07459 Sarah Knoll Apt. 779, Sanchezview, AS 20609",07-05-2023 07:05,disturbance,high,within 48 hours
7,Protest,protest,"3160 Hansen Vista, Port Jeffrey, PA 56702",24-01-2024 04:50,strike,very high,within 12 hours
8,Protest,protest,"079 Garza Branch, West Andrea, NV 03421",28-01-2023 09:38,rally,moderate,within 12 hours
9,Crime Spree,crime spree,"USS Smith, FPO AP 92776",01-07-2021 08:39,criminal outbreak,very low,within 12 hours
10,Riot,violent protest,"27923 Thomas Alley, South Eduardostad, MP 99664",22-12-2020 08:20,uprising,low,within 18 hours
11,Riot,uprising,"24898 Jackson Street Apt. 400, Port Larry, MH 32884",21-03-2020 22:31,civil unrest,low,within 48 hours
12,Civil War,insurgency,"788 Dean Isle, Sherriside, LA 27902",02-01-2022 19:12,armed conflict,very high,within 24 hours
13,Public Health Emergency,health crisis,"45547 Clark Shores Suite 160, East Rebeccaland, AK 80404",09-02-2024 18:08,outbreak,very low,within 6 hours
14,Crime Spree,crime spree,"6738 George Village, Stewartfort, AS 42054",21-10-2023 03:16,crime spree,low,within 48 hours
15,Environmental Hazard,pollution,"098 Watson Circle, Kerrytown, AK 56553",30-05-2023 00:58,toxic contamination,low,within 18 hours
16,Terrorist Attack,terrorist attack,"7016 Jill Island Suite 798, Port Brian, MH 37772",06-02-2020 23:14,terrorist attack,moderate,within 36 hours
17,Labor Strike,worker protest,"47722 Garcia Club, South Anthonyside, VI 47599",07-02-2021 03:08,labor strike,low,within 48 hours
18,Protest,march,"392 Brittany Lodge, East James, OR 85842",04-07-2021 19:07,strike,very high,within 36 hours
19,Environmental Hazard,environmental hazard,"258 Sydney Crescent Apt. 036, Williamsburgh, OK 22648",09-03-2023 17:36,ecological threat,moderate,within 24 hours
20,Crime Spree,crime spree,"791 Tanner Brook, Victoriamouth, UT 83975",30-08-2022 08:06,crime wave,very high,within 18 hours
21,Terrorist Attack,bombing,"660 Annette Knoll, Kennethland, CA 88016",27-08-2021 05:03,armed assault,very low,within 48 hours
22,Terrorist Attack,bombing,"530 Taylor Spur, East Erik, DC 53487",22-04-2022 13:30,hostage crisis,very high,within 36 hours
23,Terrorist Attack,armed assault,"13011 Lisa Brooks Apt. 515, North Jackie, KY 99541",04-12-2020 03:30,armed assault,moderate,within 36 hours
24,Crime Spree,criminal activity,"36355 Hays Crossroad, East Miranda, ME 57795",18-01-2021 21:52,criminal activity,low,within 36 hours
25,Civil War,warfare,"PSC 5020, Box 8507, APO AP 07420",16-01-2021 21:22,conflict,high,within 6 hours
26,Civil War,conflict,"013 Wilson Inlet, North Cynthiachester, WY 01352",24-12-2022 20:24,conflict,low,within 6 hours
27,Civil War,insurgency,"PSC 7641, Box 4067, APO AA 89867",28-02-2022 22:12,civil war,very low,within 6 hours
28,Terrorist Attack,armed assault,"46943 Gabriel Throughway Apt. 601, Joannemouth, FL 70624",20-09-2021 10:51,hostage crisis,very low,within 12 hours
29,Riot,riot,"789 Cannon Crossing, Trantown, FM 30980",11-09-2022 02:25,riot,moderate,within 18 hours
30,Labor Strike,strike,"516 Matthew River, Rodriguezbury, WV 38982",14-07-2021 23:52,strike,low,within 6 hours
31,Riot,civil unrest,"9563 Adkins Views, Farleyberg, TN 57244",23-10-2020 09:31,disturbance,high,within 24 hours
32,Labor Strike,labor dispute,"498 Elizabeth Rapids, South Nicoleville, WY 27219",27-12-2021 13:06,industrial action,very high,within 6 hours
33,Riot,violent protest,"020 Kimberly Plaza Suite 382, Williamsville, NV 37123",16-05-2021 22:16,violent protest,high,within 36 hours
34,Labor Strike,industrial action,"555 Francisco Street, South Michael, IN 18887",27-11-2023 18:00,worker protest,high,within 18 hours
35,Terrorist Attack,terrorist attack,"21845 Barrera Bypass, Lake Sarahborough, WI 54827",04-03-2021 02:05,bombing,very low,within 12 hours
36,Public Health Emergency,outbreak,"4892 Adam Mall, Tinastad, WA 51684",03-12-2021 14:45,outbreak,low,within 24 hours
37,Terrorist Attack,terrorist attack,"4182 Katelyn Village Apt. 766, Christopherton, MP 76506",25-09-2020 08:09,bombing,very high,within 48 hours
38,Labor Strike,strike,"285 Joe Mews, Harrisstad, AR 47797",10-09-2023 06:49,worker protest,very high,within 6 hours
39,Crime Spree,crime spree,"1015 Jason Springs Apt. 277, East Sandra, HI 46857",27-04-2022 22:49,lawlessness,very low,within 24 hours
