Crisis ID,Type of Scarcity Crisis,What,Where,When,How,Severity,Duration
1,Energy Scarcity,shortage of energy,"2375 Howard Street Apt. 056, Pachecoport, AL 78086",15-11-2020 18:21:05,energy crisis,very high,within 7 hours
2,Medical Supplies Scarcity,medical supply shortage,"204 Deborah Inlet Suite 328, South Janiceburgh, VI 98775",30-11-2021 09:04:14,medical supplies scarcity,very high,within 7 hours
3,Energy Scarcity,shortage of energy,"580 Denise Dale Apt. 633, Markville, MD 76771",10-07-2022 00:16:16,shortage of energy,very low,within 18 hours
4,Water Scarcity,water crisis,"63910 Heather Station, Bowmantown, MP 37373",10-02-2020 06:21:15,shortage of water,moderate,within 18 hours
5,Medical Supplies Scarcity,healthcare crisis,"6353 Michael Key Apt. 414, West Karen, CO 87484",23-05-2020 20:07:12,shortage of medical equipment,very high,within 48 hours
6,Water Scarcity,water scarcity,"99789 Nancy Dale, New Stevenhaven, WV 56936",28-04-2021 23:00:40,water crisis,moderate,within 9 hours
7,Energy Scarcity,energy scarcity,"640 John Canyon, Ortizmouth, VT 29807",10-07-2023 06:42:58,lack of electricity,very high,within 72 hours
8,Food Scarcity,food insecurity,"656 Lopez Key, West Christina, AS 73307",11-02-2021 13:33:38,food scarcity,very high,within 9 hours
9,Water Scarcity,drought,"7529 Leslie Grove, Port Samanthafort, MN 45861",22-12-2022 10:16:15,water scarcity,low,within 7 hours
10,Medical Supplies Scarcity,medical supplies scarcity,"32642 Robert Views, Port Tracy, CT 58421",05-01-2023 22:33:24,medical supplies scarcity,high,within 18 hours
11,Medical Supplies Scarcity,medical supplies scarcity,"610 Thompson Island Suite 481, Hernandezmouth, AS 23986",12-10-2022 04:59:20,medical supply shortage,low,within 24 hours
12,Medical Supplies Scarcity,medical supply shortage,"92646 Andrew Loaf Suite 016, South Patricia, DE 58411",24-07-2021 17:40:54,lack of medicines,moderate,within 12 hours
13,Medical Supplies Scarcity,medical supply shortage,"78648 Michael Center, Gonzalesborough, LA 74660",23-09-2022 12:11:12,healthcare crisis,high,within 18 hours
14,Fuel Scarcity,fuel scarcity,"444 Daniels Springs Suite 108, Hullmouth, WY 92842",11-07-2020 04:38:56,shortage of fuel,low,within 18 hours
15,Food Scarcity,famine,"23555 Rebecca Heights Suite 187, Thomasburgh, KS 24594",23-03-2022 04:09:36,food scarcity,high,within 72 hours
16,Medical Supplies Scarcity,medical supplies scarcity,"38071 Morris Circles, Crystalberg, AL 24993",12-07-2020 08:14:20,shortage of medical equipment,high,within 5 hours
17,Medical Supplies Scarcity,medical supply shortage,"2019 Reese Falls, Marissaburgh, PR 25766",14-02-2021 01:13:16,lack of medicines,very high,within 24 hours
18,Water Scarcity,drought,"2546 Nelson River, East Kathleentown, HI 03771",07-09-2023 10:05:47,shortage of water,low,within 5 hours
19,Water Scarcity,drought,"20940 Brittany River, Troyside, RI 85283",13-08-2020 20:22:01,drought,moderate,within 7 hours
20,Medical Supplies Scarcity,shortage of medical equipment,"PSC 1676, Box 5268, APO AA 46918",17-01-2021 05:02:17,medical supplies scarcity,high,within 5 hours
21,Medical Supplies Scarcity,healthcare crisis,"PSC 2199, Box 6364, APO AP 49713",27-02-2024 01:47:04,shortage of medical equipment,very high,within 9 hours
22,Food Scarcity,famine,"990 Farmer Ville Apt. 019, Haleyburgh, UT 45586",19-03-2022 15:55:35,food insecurity,high,within 7 hours
23,Fuel Scarcity,fuel supply disruption,"4021 Cole Branch, East Samuel, IA 69324",19-12-2023 22:55:17,energy crisis,moderate,within 72 hours
24,Medical Supplies Scarcity,shortage of medical equipment,"Unit 3676 Box 2056, DPO AP 20235",14-03-2020 13:43:52,medical supplies scarcity,moderate,within 5 hours
25,Fuel Scarcity,fuel supply disruption,"9160 Barbara River, Lindachester, NC 06317",02-08-2023 06:15:12,fuel supply disruption,low,within 18 hours
26,Energy Scarcity,power outage,"636 Hardy Hills Suite 015, West Franklinview, ID 51580",01-01-2022 08:18:57,power outage,very low,within 9 hours
27,Water Scarcity,drought,"200 Denise Loaf Suite 069, Lake Angelaberg, IL 25013",10-01-2024 18:21:23,water crisis,moderate,within 48 hours
28,Water Scarcity,drought,"USNS Martin, FPO AA 10015",14-05-2021 09:09:10,water scarcity,high,within 18 hours
29,Fuel Scarcity,petrol shortage,"937 Dennis Motorway Apt. 307, South Erinfurt, NY 80961",23-07-2021 07:39:29,fuel supply disruption,very low,within 7 hours
30,Energy Scarcity,energy crisis,"1850 Mcfarland Valley Suite 352, Kaitlynborough, FM 51221",07-01-2022 02:20:27,power outage,high,within 24 hours
31,Energy Scarcity,shortage of energy,"5647 Edwards Mount Apt. 074, Powellburgh, LA 56240",12-11-2022 09:17:59,power outage,low,within 5 hours
32,Fuel Scarcity,shortage of fuel,"58627 Jennifer Spring, New Gwendolynland, CA 02927",14-04-2022 12:46:53,fuel supply disruption,very low,within 12 hours
33,Water Scarcity,shortage of water,"2402 Amber Mission, Tristanport, FL 84088",04-06-2020 11:14:30,drought,low,within 48 hours
34,Food Scarcity,hunger crisis,"35778 Norman Grove, Port Josephtown, VT 45023",07-08-2021 08:28:27,food scarcity,high,within 5 hours
35,Water Scarcity,lack of clean water,"164 Robert Parks, South Davidberg, WY 32093",11-12-2023 23:52:37,water crisis,very low,within 48 hours
36,Energy Scarcity,lack of electricity,"313 Eric Mountains, New Deborah, IL 42426",14-03-2022 08:39:40,energy crisis,very low,within 18 hours
37,Water Scarcity,lack of clean water,"04984 Lane Key, West Jeremiahtown, MH 35724",23-07-2020 14:48:36,water scarcity,moderate,within 24 hours
38,Water Scarcity,lack of clean water,"683 David Lakes Apt. 005, Parksshire, NC 02078",25-09-2022 03:56:18,water crisis,moderate,within 24 hours
39,Water Scarcity,water crisis,"128 Stephanie Rapids, Taylorshire, MI 43636",08-03-2023 22:59:36,drought,very high,within 48 hours
40,Food Scarcity,food scarcity,"59343 Ricardo Knolls, Alexanderbury, MI 27535",24-02-2022 04:37:04,hunger crisis,low,within 72 hours
